biz_date,category,region,store_code,forecast_qty,actual_qty,forecast_accuracy,oos_rate,inventory_turnover_days
2023-01-05,家具,华东,EC001,0,0,84.01,3.93,132
2023-01-05,游戏机,华北,NC001,0,0,76.46,3.91,43
2023-01-08,化妆品,华南,SC001,0,0,71.71,3.36,124
2023-01-09,家具,华中,CC001,0,0,56.15,4.69,151
2023-01-13,游戏机,西南,SW001,0,0,77.98,1.16,124
2023-01-13,化妆品,华东,EC002,0,0,80.66,5.37,51
2023-01-14,家具,华北,NC002,0,0,62.11,1.18,145
2023-01-14,游戏机,华南,SC002,0,0,79.73,2.24,39
2023-01-14,化妆品,华中,CC002,0,0,75.02,4.39,47
2023-01-15,家具,西南,SW002,0,0,80.19,1.18,123
2023-01-18,游戏机,华东,EC003,0,0,60.72,1.73,91
2023-01-19,化妆品,华北,NC003,0,0,82.07,0.92,120
2023-01-19,家具,华南,SC003,0,0,66.88,2.75,126
2023-01-21,游戏机,华中,CC003,0,0,65.73,8.76,166
2023-01-22,化妆品,西南,SW003,0,0,98.69,0.63,52
2023-01-23,家具,华东,EC004,0,0,91.26,1.39,53
2023-01-25,游戏机,华北,NC004,0,0,84.88,3.40,107
2023-01-26,化妆品,华南,SC004,0,0,66.81,5.57,108
2023-01-26,家具,华中,CC004,0,0,96.06,1.23,40
2023-01-26,游戏机,西南,SW004,0,0,80.22,1.77,76
2023-01-28,化妆品,华东,EC005,0,0,95.78,4.18,28
2023-01-29,家具,华北,NC005,0,0,80.31,2.07,58
2023-02-02,游戏机,华南,SC005,0,0,83.67,4.80,133
2023-02-02,化妆品,华中,CC005,0,0,71.75,1.89,81
2023-02-02,家具,西南,SW005,0,0,86.80,2.30,36
2023-02-02,游戏机,华东,EC006,0,0,86.43,1.39,34
2023-02-03,化妆品,华北,NC006,0,0,83.29,3.82,84
2023-02-03,家具,华南,SC006,0,0,78.44,3.63,60
2023-02-05,游戏机,华中,CC006,0,0,84.57,2.49,62
2023-02-05,化妆品,西南,SW006,0,0,94.81,2.26,97
2023-02-08,家具,华东,EC007,0,0,64.23,2.13,99
2023-02-08,游戏机,华北,NC007,0,0,87.12,1.01,46
2023-02-08,化妆品,华南,SC007,0,0,80.86,0.43,57
2023-02-08,家具,华中,CC007,0,0,94.09,4.72,108
2023-02-08,游戏机,西南,SW007,0,0,71.83,4.78,82
2023-02-10,化妆品,华东,EC008,0,0,82.08,2.85,68
2023-02-13,家具,华北,NC008,0,0,87.52,0.86,57
2023-02-14,游戏机,华南,SC008,0,0,85.04,0.37,108
2023-02-16,化妆品,华中,CC008,0,0,77.52,1.01,72
2023-02-17,家具,西南,SW008,0,0,63.62,1.03,92
2023-02-19,游戏机,华东,EC009,0,0,77.57,0.69,132
2023-02-20,化妆品,华北,NC009,0,0,78.32,3.21,51
2023-02-22,家具,华南,SC009,0,0,95.93,2.18,105
2023-02-23,游戏机,华中,CC009,0,0,88.84,1.18,119
2023-02-23,化妆品,西南,SW009,0,0,75.29,7.12,83
2023-02-23,家具,华东,EC010,0,0,96.07,2.50,49
2023-02-25,游戏机,华北,NC010,0,0,86.80,0.94,48
2023-02-27,化妆品,华南,SC010,0,0,73.78,4.84,85
2023-02-27,家具,华中,CC010,0,0,76.48,2.77,80
2023-02-27,游戏机,西南,SW010,0,0,92.69,1.69,31
2023-03-01,化妆品,华东,EC011,0,0,75.71,0.74,113
2023-03-03,家具,华北,NC011,0,0,92.18,3.86,76
2023-03-05,游戏机,华南,SC011,0,0,88.90,2.29,34
2023-03-06,化妆品,华中,CC011,0,0,78.77,2.50,85
2023-03-07,家具,西南,SW011,0,0,85.94,2.59,60
2023-03-08,游戏机,华东,EC012,0,0,98.87,2.75,21
2023-03-11,化妆品,华北,NC012,0,0,79.88,2.10,85
2023-03-12,家具,华南,SC012,0,0,80.02,3.91,141
2023-03-13,游戏机,华中,CC012,0,0,63.64,5.10,100
2023-03-13,化妆品,西南,SW012,0,0,80.16,3.33,141
2023-03-14,家具,华东,EC001,0,0,68.42,2.14,137
2023-03-16,游戏机,华北,NC001,0,0,56.28,1.73,123
2023-03-16,化妆品,华南,SC001,0,0,87.88,1.22,27
2023-03-17,家具,华中,CC001,0,0,96.19,3.99,60
2023-03-17,游戏机,西南,SW001,0,0,95.00,3.75,59
2023-03-17,化妆品,华东,EC002,0,0,86.94,2.50,43
2023-03-18,家具,华北,NC002,0,0,57.88,0.49,128
2023-03-18,游戏机,华南,SC002,0,0,79.22,4.12,124
2023-03-20,化妆品,华中,CC002,0,0,87.79,4.61,128
2023-03-21,家具,西南,SW002,0,0,80.65,4.45,85
2023-03-21,游戏机,华东,EC003,0,0,76.17,0.20,134
2023-03-23,化妆品,华北,NC003,0,0,81.03,4.09,122
2023-03-27,家具,华南,SC003,0,0,78.94,4.73,87
2023-03-27,游戏机,华中,CC003,0,0,96.24,1.18,64
2023-03-27,化妆品,西南,SW003,0,0,78.80,2.43,126
2023-03-28,家具,华东,EC004,0,0,63.98,4.64,87
2023-03-31,游戏机,华北,NC004,0,0,61.45,1.69,101
2023-03-31,化妆品,华南,SC004,0,0,85.44,2.46,40
2023-03-31,家具,华中,CC004,0,0,86.19,2.34,37
2023-04-01,游戏机,西南,SW004,0,0,67.58,0.23,132
2023-04-02,化妆品,华东,EC005,0,0,90.31,2.76,41
2023-04-04,家具,华北,NC005,0,0,81.19,2.62,75
2023-04-04,游戏机,华南,SC005,0,0,58.08,2.60,90
2023-04-04,化妆品,华中,CC005,0,0,60.22,0.43,85
2023-04-09,家具,西南,SW005,0,0,91.31,2.08,64
2023-04-11,游戏机,华东,EC006,0,0,83.32,1.92,129
2023-04-11,化妆品,华北,NC006,0,0,83.19,1.69,61
2023-04-15,家具,华南,SC006,0,0,83.29,3.57,86
2023-04-15,游戏机,华中,CC006,0,0,78.06,0.37,106
2023-04-16,化妆品,西南,SW006,0,0,84.38,0.63,119
2023-04-16,家具,华东,EC007,0,0,90.16,3.35,49
2023-04-16,游戏机,华北,NC007,0,0,87.04,5.49,60
2023-04-17,化妆品,华南,SC007,0,0,94.03,0.44,21
2023-04-21,家具,华中,CC007,0,0,81.46,0.72,66
2023-04-22,游戏机,西南,SW007,0,0,86.60,8.95,62
2023-04-23,化妆品,华东,EC008,0,0,98.42,1.59,64
2023-04-26,家具,华北,NC008,0,0,89.11,4.55,37
2023-04-27,游戏机,华南,SC008,0,0,68.09,0.63,75
2023-04-30,化妆品,华中,CC008,0,0,84.78,4.78,92
2023-05-03,家具,西南,SW008,0,0,76.54,2.85,90
2023-05-03,游戏机,华东,EC009,0,0,95.67,2.76,60
2023-05-04,化妆品,华北,NC009,0,0,94.89,1.25,43
2023-05-04,家具,华南,SC009,0,0,91.19,4.47,34
2023-05-08,游戏机,华中,CC009,0,0,74.25,0.28,59
2023-05-10,化妆品,西南,SW009,0,0,84.67,3.64,133
2023-05-10,家具,华东,EC010,0,0,54.22,1.58,64
2023-05-11,游戏机,华北,NC010,0,0,93.45,2.41,78
2023-05-12,化妆品,华南,SC010,0,0,85.48,4.23,119
2023-05-13,家具,华中,CC010,0,0,84.09,4.84,75
2023-05-15,游戏机,西南,SW010,0,0,79.57,5.44,48
2023-05-19,化妆品,华东,EC011,0,0,53.63,2.73,105
2023-05-19,家具,华北,NC011,0,0,75.40,4.00,89
2023-05-19,游戏机,华南,SC011,0,0,84.30,2.81,107
2023-05-20,化妆品,华中,CC011,0,0,78.53,0.89,64
2023-05-21,家具,西南,SW011,0,0,71.90,4.26,119
2023-05-22,游戏机,华东,EC012,0,0,90.81,3.85,113
2023-05-23,化妆品,华北,NC012,0,0,92.23,2.82,49
2023-05-23,家具,华南,SC012,0,0,60.45,1.61,127
2023-05-26,游戏机,华中,CC012,0,0,78.38,5.20,70
2023-05-26,化妆品,西南,SW012,0,0,79.00,6.54,73
2023-05-29,家具,华东,EC001,0,0,98.45,4.09,125
2023-05-30,游戏机,华北,NC001,0,0,82.49,0.23,58
2023-05-30,化妆品,华南,SC001,0,0,91.56,2.41,27
2023-06-01,家具,华中,CC001,0,0,74.71,1.02,119
2023-06-04,游戏机,西南,SW001,0,0,66.52,0.40,83
2023-06-05,化妆品,华东,EC002,0,0,58.77,5.39,82
2023-06-06,家具,华北,NC002,0,0,78.75,0.23,32
2023-06-07,游戏机,华南,SC002,0,0,71.66,2.34,84
2023-06-09,化妆品,华中,CC002,0,0,80.02,0.32,124
2023-06-09,家具,西南,SW002,0,0,98.81,3.93,121
2023-06-09,游戏机,华东,EC003,0,0,80.73,2.81,58
2023-06-11,化妆品,华北,NC003,0,0,62.55,3.15,85
2023-06-13,家具,华南,SC003,0,0,53.40,3.11,137
2023-06-16,游戏机,华中,CC003,0,0,98.23,0.73,38
2023-06-16,化妆品,西南,SW003,0,0,66.14,1.57,120
2023-06-16,家具,华东,EC004,0,0,80.38,2.39,76
